cand_fullname,state,trips
Amy Klobuchar,IA,1
Andrew Yang,IA,2
Bernie Sanders,DC,2
Bernie Sanders,SC,1
Beto O'Rourke,TX,4
Beto O'Rourke,CO,1
Beto O'Rourke,DC,1
Beto O'Rourke,KS,1
Beto O'Rourke,NM,1
Beto O'Rourke,OK,1
Cory Booker,DC,1
Cory Booker,GA,1
Cory Booker,LA,1
Cory Booker,NH,1
Cory Booker,NJ,1
Cory Booker,NY,1
Cory Booker,SC,1
Deval Patrick,SC,1
Elizabeth Warren,NH,2
Elizabeth Warren,DC,1
Elizabeth Warren,IA,1
Elizabeth Warren,MD,1
Elizabeth Warren,PR,1
Elizabeth Warren,SC,1
Eric Garcetti,DC,1
Eric Swalwell,IA,3
Eric Swalwell,NH,2
Eric Swalwell,GA,1
Eric Swalwell,SC,1
Howard Schultz,AZ,1
Howard Schultz,CA,1
Howard Schultz,NY,1
Jay Inslee,NH,1
Jay Inslee,NV,1
Jeff Merkley,DC,1
Jeff Merkley,IA,1
Jeff Merkley,TX,1
Joe Biden,DC,3
Joe Biden,FL,1
Joe Biden,TX,1
Joe Biden,VT,1
John Delaney,IA,4
John Delaney,MI,1
John Delaney,NH,1
John Delaney,TX,1
John Hickenlooper,DC,2
John Hickenlooper,CA,1
John Hickenlooper,IA,1
Julian Castro,DC,1
Julian Castro,FL,1
Julian Castro,IA,1
Julian Castro,NH,1
Julian Castro,NV,1
Julian Castro,PR,1
Julian Castro,TX,1
Kamala Harris,DC,2
Kamala Harris,CA,1
Kamala Harris,IA,1
Kamala Harris,INTL,1
Kamala Harris,MS,1
Kamala Harris,NY,1
Kamala Harris,SC,1
Kirsten Gillibrand,IA,1
Kirsten Gillibrand,NH,1
Kirsten Gillibrand,NY,1
Marianne Williamson,IA,1
Marianne Williamson,NH,1
Michael Bloomberg,DC,2
Michael Bloomberg,IA,1
Michael Bloomberg,MD,1
Michael Bloomberg,NH,1
Michael Bloomberg,TX,1
Pete Buttigieg,DC,1
Pete Buttigieg,IA,1
Sherrod Brown,IA,2
Sherrod Brown,OH,1
Tom Steyer,CA,1
Tom Steyer,IA,1
Tom Steyer,SC,1
Tulsi Gabbard,NH,1
